transaction_id,client_id,type,amount,timestamp
T0001,C1,BUY,117,2025-01-01 10:00:00
T0002,C1,BUY,134,2025-01-01 11:00:01
T0003,C1,SELL,151,2025-01-01 12:00:02
T0004,C1,BUY,168,2025-01-01 13:00:03
T0005,C1,BUY,185,2025-01-01 14:00:04
T0006,C2,SELL,202,2025-01-01 15:00:05
T0007,C2,BUY,219,2025-01-01 16:00:06
T0008,C2,BUY,236,2025-01-01 17:00:07
T0009,C2,SELL,253,2025-01-01 18:00:08
T0010,C2,BUY,270,2025-01-01 09:00:09
T0011,C3,BUY,287,2025-01-01 10:00:10
T0012,C3,SELL,304,2025-01-01 11:00:11
T0013,C3,BUY,321,2025-01-01 12:00:12
T0014,C3,BUY,338,2025-01-01 13:00:13
T0015,C3,SELL,355,2025-01-01 14:00:14
T0016,C4,BUY,372,2025-01-01 15:00:15
T0017,C4,BUY,389,2025-01-01 16:00:16
T0018,C4,SELL,406,2025-01-01 17:00:17
T0019,C4,BUY,423,2025-01-01 18:00:18
T0020,C4,BUY,440,2025-01-01 09:00:19
T0021,C5,SELL,457,2025-01-01 10:00:20
T0022,C5,BUY,474,2025-01-01 11:00:21
T0023,C5,BUY,491,2025-01-01 12:00:22
T0024,C5,SELL,508,2025-01-01 13:00:23
T0025,C5,BUY,525,2025-01-01 14:00:24
T0026,C6,BUY,542,2025-01-01 15:00:25
T0027,C6,SELL,559,2025-01-01 16:00:26
T0028,C6,BUY,576,2025-01-01 17:00:27
T0029,C6,BUY,593,2025-01-01 18:00:28
T0030,C6,SELL,610,2025-01-01 09:00:29
T0031,C7,BUY,627,2025-01-01 10:00:30
T0032,C7,BUY,644,2025-01-01 11:00:31
T0033,C7,SELL,661,2025-01-01 12:00:32
T0034,C7,BUY,678,2025-01-01 13:00:33
T0035,C7,BUY,695,2025-01-01 14:00:34
T0036,C8,SELL,712,2025-01-01 15:00:35
T0037,C8,BUY,729,2025-01-01 16:00:36
T0038,C8,BUY,746,2025-01-01 17:00:37
T0039,C8,SELL,763,2025-01-01 18:00:38
T0040,C8,BUY,780,2025-01-01 09:00:39
T0041,C9,BUY,797,2025-01-01 10:00:40
T0042,C9,SELL,814,2025-01-01 11:00:41
T0043,C9,BUY,831,2025-01-01 12:00:42
T0044,C9,BUY,848,2025-01-01 13:00:43
T0045,C9,SELL,865,2025-01-01 14:00:44
T0046,C10,BUY,882,2025-01-01 15:00:45
T0047,C10,BUY,899,2025-01-01 16:00:46
T0048,C10,SELL,916,2025-01-01 17:00:47
T0049,C10,BUY,933,2025-01-01 18:00:48
T0050,C10,BUY,950,2025-01-01 09:00:49
T0051,C11,SELL,967,2025-01-01 10:00:50
T0052,C11,BUY,984,2025-01-01 11:00:51
T0053,C11,BUY,1001,2025-01-01 12:00:52
T0054,C11,SELL,1018,2025-01-01 13:00:53
T0055,C11,BUY,1035,2025-01-01 14:00:54
T0056,C12,BUY,1052,2025-01-01 15:00:55
T0057,C12,SELL,1069,2025-01-01 16:00:56
T0058,C12,BUY,1086,2025-01-01 17:00:57
T0059,C12,BUY,1103,2025-01-01 18:00:58
T0060,C12,SELL,1120,2025-01-01 09:00:59
T0061,C13,BUY,1137,2025-01-01 10:01:00
T0062,C13,BUY,1154,2025-01-01 11:01:01
T0063,C13,SELL,1171,2025-01-01 12:01:02
T0064,C13,BUY,1188,2025-01-01 13:01:03
T0065,C13,BUY,1205,2025-01-01 14:01:04
T0066,C14,SELL,1222,2025-01-01 15:01:05
T0067,C14,BUY,1239,2025-01-01 16:01:06
T0068,C14,BUY,1256,2025-01-01 17:01:07
T0069,C14,SELL,1273,2025-01-01 18:01:08
T0070,C14,BUY,1290,2025-01-01 09:01:09
T0071,C15,BUY,1307,2025-01-01 10:01:10
T0072,C15,SELL,1324,2025-01-01 11:01:11
T0073,C15,BUY,1341,2025-01-01 12:01:12
T0074,C15,BUY,1358,2025-01-01 13:01:13
T0075,C15,SELL,1375,2025-01-01 14:01:14
T0076,C16,BUY,1392,2025-01-01 15:01:15
T0077,C16,BUY,1409,2025-01-01 16:01:16
T0078,C16,SELL,1426,2025-01-01 17:01:17
T0079,C16,BUY,1443,2025-01-01 18:01:18
T0080,C16,BUY,1460,2025-01-01 09:01:19
T0081,C17,SELL,1477,2025-01-01 10:01:20
T0082,C17,BUY,1494,2025-01-01 11:01:21
T0083,C17,BUY,1511,2025-01-01 12:01:22
T0084,C17,SELL,1528,2025-01-01 13:01:23
T0085,C17,BUY,1545,2025-01-01 14:01:24
T0086,C18,BUY,1562,2025-01-01 15:01:25
T0087,C18,SELL,1579,2025-01-01 16:01:26
T0088,C18,BUY,1596,2025-01-01 17:01:27
T0089,C18,BUY,1613,2025-01-01 18:01:28
T0090,C18,SELL,1630,2025-01-01 09:01:29
T0091,C19,BUY,1647,2025-01-01 10:01:30
T0092,C19,BUY,1664,2025-01-01 11:01:31
T0093,C19,SELL,1681,2025-01-01 12:01:32
T0094,C19,BUY,1698,2025-01-01 13:01:33
T0095,C19,BUY,1715,2025-01-01 14:01:34
T0096,C20,SELL,1732,2025-01-01 15:01:35
T0097,C20,BUY,1749,2025-01-01 16:01:36
T0098,C20,BUY,1766,2025-01-01 17:01:37
T0099,C20,SELL,1783,2025-01-01 18:01:38
T0100,C20,BUY,1800,2025-01-01 09:01:39
T0101,C21,BUY,1817,2025-01-01 10:01:40
T0102,C21,SELL,1834,2025-01-01 11:01:41
T0103,C21,BUY,1851,2025-01-01 12:01:42
T0104,C21,BUY,1868,2025-01-01 13:01:43
T0105,C21,SELL,1885,2025-01-01 14:01:44
T0106,C22,BUY,1902,2025-01-01 15:01:45
